Category,Item,Cost,Frequency,Why?
Annual,CPA / Accountant (quarterly taxes + annual return),"$2,000",Annual,"Quarterly estimated tax prep. Annual return. Self-employed 401k admin."
Annual,"Helium Leak Test Service (outsourced, per batch)","$2,400",Annual,"~$50/batch for leak testing manifold blocks. ~4 batches/month."
Annual,Metrology Lab (periodic CMM verification),"$1,000",Annual,"Send parts for independent CMM check 2x/year."
Annual,Machine Maintenance (annual Haas service),"$2,000",Annual,"Preventive maintenance. Way oil, spindle check, axis calibration."
Annual,SD Annual Report + Registered Agent,$175,Annual,"State filing + Northwest Registered Agent renewal."
,,,,
AUTOMOTIVE PRODUCT LINE (add Month 3-6),,,,
Materials,6061-T6 Aluminum Billet Stock (monthly),$500,Monthly,"For automotive manifold blocks. Cheaper than 316L, machines 5x faster."
Materials,7075-T6 Aluminum Bar Stock (monthly),$200,Monthly,"For turbo oil blocks. Higher strength than 6061."
,,,,
YEAR 1 CERTIFICATION (OPTIONAL - RECOMMENDED),,,,
Certification,ISO 9001 Consultant + Registrar Audit,"$10,000","Year 1-2","Opens semiconductor OEM and larger integrator customers. 6-12 month process."
,,,,
YEAR 2-3 SCALING (Second Machine Cell),,,,
Scaling,"Haas VF-2SS #2 (Used)","$55,000","Year 2-3","Second production machine. Same spec."
Scaling,"UR10e #2 (Used)","$35,000","Year 2-3","Second cobot. Same spec."
Scaling,Beelink #2 + UPS + NEMA + Relay,$1,200,"Year 2-3","Second Invariant safety computer. Same hotspot."
Scaling,"Pneumatic Vise #2 + Gripper #2","$6,500","Year 2-3","Second workholding and end effector set."
Scaling,"Chip Conveyor #2 + Coolant System #2","$3,500","Year 2-3","Second machine consumables management."
Scaling,Forklift Rigger (machine #2 move-in),"$5,000","Year 2-3","Move second 8,000 lb Haas into bay."
Scaling,Tooling Set #2 (end mills + drills + holders),"$4,400","Year 2-3","Duplicate tooling for second machine."
Scaling,Total Second Cell,,"~$110,600","Year 2-3 — funded from Year 1-2 profits"
,,,,
YEAR 2-3 INVARIANT APPLIANCE PRODUCT,,,,
Product,Beelink units for resale (batch of 10),"$6,000","Year 2-3","Buy 10 Beelinks at $600 each for Invariant appliance inventory."
Product,"NEMA enclosures + UPS + relays (batch of 10)","$6,000","Year 2-3","Safety hardware kits for appliance product."
Product,Shopify + marketing for Invariant appliance,$500,"Year 2-3","Product page, demo videos, documentation."
,,,,
TOTALS,,,,
One-Time Capital (all equipment + setup + services),,"$130,475",,"Everything to build and commission Cell #1"
Monthly Operating (316L + automotive),"$10,037",,,"All recurring monthly costs including loan + automotive materials"
Annual Operating,,"$120,444",,"Monthly x 12"
Annual Periodic,,"$7,575",,"CPA + leak testing + metrology + maintenance + state filings"
Total Year 1 (capital + 12 months operating + periodic),,"$258,494",,"All-in cost to launch and operate for one year"
Savings/Financing Needed,,"$175,000",,"Equipment loan (~$90K) + savings (~$85K for setup + 6 months runway)"
,,,,
YEAR 2-3 SCALING CAPITAL,,,,
Second Cell (machine + robot + tooling + setup),,"$110,600",,"Funded from Year 1-2 profits. No additional loan needed."
Invariant Appliance Inventory + Launch,,"$12,500",,"First batch of 10 units + marketing."
ISO 9001 Certification,,"$10,000",,"6-12 month process. Funded from profits."
,,,,
REVENUE TARGETS,,,,
Monthly break-even (Cell #1),,"$10,037",,"~29 manifold blocks at $350 avg to cover all costs"
Year 1 revenue (conservative),,"$350,000",,"316L manifolds: 3-4/day x $350 + auto manifolds: 2-3/day x $100"
Year 1 net profit,,"$100,000-$230,000",,"Revenue minus all costs. Pay yourself $75K. Max 401k. Reinvest."
Year 2 revenue (1 machine),,"$700,000-$1,000,000",,"316L: 6-8/day x $400 + auto: 5-8/day x $120"
Year 2 net profit,,"$400,000-$700,000",,"Add second machine mid-year. Max 401k. Reinvest."
Year 3 revenue (2 machines),,"$1,500,000-$2,500,000",,"Both cells running 65-75% utilization + ISO 9001 customers"
Year 3 net profit,,"$800,000-$1,500,000",,"+ Invariant appliance revenue starting"
Year 5 revenue (2-3 machines + appliance),,"$3,000,000-$5,000,000",,"Manufacturing + Invariant product revenue"
Year 5 net profit,,"$1,500,000-$3,000,000",,"The business is real."
